Temperature,time,vector_days,year
19.94875488,91,01/04/2005,2005
21.79384766,92,02/04/2005,2005
22.10427246,93,03/04/2005,2005
23.15187988,94,04/04/2005,2005
14.29213867,95,05/04/2005,2005
10.69887695,96,06/04/2005,2005
12.3109375,97,07/04/2005,2005
11.51479492,98,08/04/2005,2005
14.00478516,99,09/04/2005,2005
16.50039063,100,10/04/2005,2005
17.74941406,101,11/04/2005,2005
19.10927734,102,12/04/2005,2005
15.82680664,103,13/04/2005,2005
19.70839844,104,14/04/2005,2005
21.42055664,105,15/04/2005,2005
23.45351563,106,16/04/2005,2005
25.47402344,107,17/04/2005,2005
25.17617188,108,18/04/2005,2005
25.93300781,109,19/04/2005,2005
26.77651367,110,20/04/2005,2005
27.81630859,111,21/04/2005,2005
27.20009766,112,22/04/2005,2005
27.72353516,113,23/04/2005,2005
26.76113281,114,24/04/2005,2005
25.77456055,115,25/04/2005,2005
26.10756836,116,26/04/2005,2005
28.34145508,117,27/04/2005,2005
23.20498047,118,28/04/2005,2005
28.53408203,119,29/04/2005,2005
27.10488281,120,30/04/2005,2005
26.26943359,121,01/05/2005,2005
26.25478516,122,02/05/2005,2005
27.66518555,123,03/05/2005,2005
28.28847656,124,04/05/2005,2005
26.12807617,125,05/05/2005,2005
27.43203125,126,06/05/2005,2005
21.17275391,127,07/05/2005,2005
22.69204102,128,08/05/2005,2005
25.09609375,129,09/05/2005,2005
26.43398438,130,10/05/2005,2005
27.23525391,131,11/05/2005,2005
26.61318359,132,12/05/2005,2005
27.13710938,133,13/05/2005,2005
29.11269531,134,14/05/2005,2005
29.53579102,135,15/05/2005,2005
28.8277832,136,16/05/2005,2005
30.00283203,137,17/05/2005,2005
29.15151367,138,18/05/2005,2005
27.07802734,139,19/05/2005,2005
26.03701172,140,20/05/2005,2005
27.16518555,141,21/05/2005,2005
27.71621094,142,22/05/2005,2005
28.68325195,143,23/05/2005,2005
28.42543945,144,24/05/2005,2005
28.91762695,145,25/05/2005,2005
30.9581543,146,26/05/2005,2005
32.53505859,147,27/05/2005,2005
29.91567383,148,28/05/2005,2005
30.70131836,149,29/05/2005,2005
31.3421875,150,30/05/2005,2005
32.88564453,151,31/05/2005,2005
32.98696289,152,01/06/2005,2005
33.69741211,153,02/06/2005,2005
36.25380859,154,03/06/2005,2005
34.66542969,155,04/06/2005,2005
33.84047852,156,05/06/2005,2005
33.72011719,157,06/06/2005,2005
35.92543945,158,07/06/2005,2005
32.06850586,159,08/06/2005,2005
27.44790039,160,09/06/2005,2005
27.70180664,161,10/06/2005,2005
28.29897461,162,11/06/2005,2005
30.88613281,163,12/06/2005,2005
32.79165039,164,13/06/2005,2005
34.01967773,165,14/06/2005,2005
34.76259766,166,15/06/2005,2005
35.34121094,167,16/06/2005,2005
36.6480957,168,17/06/2005,2005
36.19204102,169,18/06/2005,2005
35.07607422,170,19/06/2005,2005
38.89443359,171,20/06/2005,2005
42.07729492,172,21/06/2005,2005
43.69008789,173,22/06/2005,2005
40.06484375,174,23/06/2005,2005
35.09584961,175,24/06/2005,2005
36.29287109,176,25/06/2005,2005
37.46401367,177,26/06/2005,2005
36.43056641,178,27/06/2005,2005
35.78603516,179,28/06/2005,2005
35.28017578,180,29/06/2005,2005
35.57558594,181,30/06/2005,2005
35.76943359,182,01/07/2005,2005
36.8331543,183,02/07/2005,2005
37.72841797,184,03/07/2005,2005
37.83364258,185,04/07/2005,2005
38.21694336,186,05/07/2005,2005
39.51918945,187,06/07/2005,2005
39.15322266,188,07/07/2005,2005
37.63369141,189,08/07/2005,2005
37.08852539,190,09/07/2005,2005
36.51601563,191,10/07/2005,2005
37.02993164,192,11/07/2005,2005
37.80996094,193,12/07/2005,2005
36.87514648,194,13/07/2005,2005
38.05483398,195,14/07/2005,2005
38.41982422,196,15/07/2005,2005
36.96206055,197,16/07/2005,2005
36.80458984,198,17/07/2005,2005
37.57900391,199,18/07/2005,2005
37.87661133,200,19/07/2005,2005
37.48183594,201,20/07/2005,2005
37.23525391,202,21/07/2005,2005
36.79384766,203,22/07/2005,2005
36.08413086,204,23/07/2005,2005
36.45180664,205,24/07/2005,2005
37.13442383,206,25/07/2005,2005
35.74355469,207,26/07/2005,2005
35.44472656,208,27/07/2005,2005
35.59414063,209,28/07/2005,2005
35.69130859,210,29/07/2005,2005
36.67568359,211,30/07/2005,2005
35.77456055,212,31/07/2005,2005
36.33657227,213,01/08/2005,2005
35.80043945,214,02/08/2005,2005
36.5152832,215,03/08/2005,2005
36.50576172,216,04/08/2005,2005
36.69399414,217,05/08/2005,2005
37.21303711,218,06/08/2005,2005
37.76381836,219,07/08/2005,2005
38.08876953,220,08/08/2005,2005
38.6793457,221,09/08/2005,2005
35.69643555,222,10/08/2005,2005
35.29384766,223,11/08/2005,2005
34.72182617,224,12/08/2005,2005
35.14345703,225,13/08/2005,2005
35.18837891,226,14/08/2005,2005
35.01357422,227,15/08/2005,2005
34.92861328,228,16/08/2005,2005
34.75209961,229,17/08/2005,2005
34.71157227,230,18/08/2005,2005
35.06801758,231,19/08/2005,2005
35.93178711,232,20/08/2005,2005
35.88881836,233,21/08/2005,2005
35.92397461,234,22/08/2005,2005
36.15810547,235,23/08/2005,2005
34.67739258,236,24/08/2005,2005
35.34853516,237,25/08/2005,2005
34.50136719,238,26/08/2005,2005
31.7862793,239,27/08/2005,2005
32.71303711,240,28/08/2005,2005
33.59023438,241,29/08/2005,2005
33.94936523,242,30/08/2005,2005
33.85634766,243,31/08/2005,2005
33.87685547,244,01/09/2005,2005
35.84731445,245,02/09/2005,2005
34.88759766,246,03/09/2005,2005
36.47036133,247,04/09/2005,2005
39.13491211,248,05/09/2005,2005
36.03579102,249,06/09/2005,2005
33.8409668,250,07/09/2005,2005
33.00991211,251,08/09/2005,2005
31.98012695,252,09/09/2005,2005
30.56191406,253,10/09/2005,2005
31.18886719,254,11/09/2005,2005
34.10048828,255,12/09/2005,2005
33.7640625,256,13/09/2005,2005
33.678125,257,14/09/2005,2005
34.91225586,258,15/09/2005,2005
34.6690918,259,16/09/2005,2005
32.80214844,260,17/09/2005,2005
32.553125,261,18/09/2005,2005
31.52431641,262,19/09/2005,2005
32.12124023,263,20/09/2005,2005
33.46669922,264,21/09/2005,2005
31.71108398,265,22/09/2005,2005
30.90102539,266,23/09/2005,2005
31.58657227,267,24/09/2005,2005
32.57631836,268,25/09/2005,2005
31.78701172,269,26/09/2005,2005
31.14882813,270,27/09/2005,2005
31.8199707,271,28/09/2005,2005
32.7640625,272,29/09/2005,2005
34.25161133,273,30/09/2005,2005
35.82119141,274,01/10/2005,2005
30.48989258,275,02/10/2005,2005
28.48354492,276,03/10/2005,2005
29.42592773,277,04/10/2005,2005
32.03847656,278,05/10/2005,2005
32.97988281,279,06/10/2005,2005
32.58510742,280,07/10/2005,2005
31.94130859,281,08/10/2005,2005
31.30410156,282,09/10/2005,2005
30.42080078,283,10/10/2005,2005
27.23671875,284,11/10/2005,2005
25.15175781,285,12/10/2005,2005
26.05141602,286,13/10/2005,2005
24.77260742,287,14/10/2005,2005
23.31875,288,15/10/2005,2005
25.13930664,289,16/10/2005,2005
27.78212891,290,17/10/2005,2005
29.48256836,291,18/10/2005,2005
28.92617188,292,19/10/2005,2005
28.91640625,293,20/10/2005,2005
29.77138672,294,21/10/2005,2005
27.66689453,295,22/10/2005,2005
23.22084961,296,23/10/2005,2005
18.56948242,297,24/10/2005,2005
21.31728516,298,25/10/2005,2005
21.53115234,299,26/10/2005,2005
21.08486328,300,27/10/2005,2005
22.80117188,301,28/10/2005,2005
26.10537109,302,29/10/2005,2005
24.39272461,303,30/10/2005,2005
21.0465332,304,31/10/2005,2005
20.48598633,305,01/11/2005,2005
20.70131836,306,02/11/2005,2005
21.82460938,307,03/11/2005,2005
20.33608398,308,04/11/2005,2005
22.50136719,309,05/11/2005,2005
21.19619141,310,06/11/2005,2005
19.92739258,311,07/11/2005,2005
20.94326172,312,08/11/2005,2005
16.55410156,313,09/11/2005,2005
14.85769043,314,10/11/2005,2005
14.73647461,315,11/11/2005,2005
15.25649414,316,12/11/2005,2005
15.50917969,317,13/11/2005,2005
15.60463867,318,14/11/2005,2005
14.95571289,319,15/11/2005,2005
14.42495117,320,16/11/2005,2005
17.66494141,321,17/11/2005,2005
19.06972656,322,18/11/2005,2005
18.33999023,323,19/11/2005,2005
15.54824219,324,20/11/2005,2005
16.59584961,325,21/11/2005,2005
18.30703125,326,22/11/2005,2005
19.03432617,327,23/11/2005,2005
17.10463867,328,24/11/2005,2005
13.94228516,329,25/11/2005,2005
11.56728516,330,26/11/2005,2005
9.646630859,331,27/11/2005,2005
9.404443359,332,28/11/2005,2005
8.200830078,333,29/11/2005,2005
8.871484375,334,30/11/2005,2005
10.76455078,335,01/12/2005,2005
12.44570313,336,02/12/2005,2005
12.04262695,337,03/12/2005,2005
15.93374023,338,04/12/2005,2005
16.99575195,339,05/12/2005,2005
17.85488281,340,06/12/2005,2005
16.584375,341,07/12/2005,2005
13.89907227,342,08/12/2005,2005
13.43618164,343,09/12/2005,2005
10.78530273,344,10/12/2005,2005
9.342919922,345,11/12/2005,2005
7.648583984,346,12/12/2005,2005
8.368066406,347,13/12/2005,2005
8.293847656,348,14/12/2005,2005
9.831689453,349,15/12/2005,2005
12.86245117,350,16/12/2005,2005
15.1559082,351,17/12/2005,2005
13.97280273,352,18/12/2005,2005
13.29067383,353,19/12/2005,2005
14.09291992,354,20/12/2005,2005
14.56508789,355,21/12/2005,2005
13.0987793,356,22/12/2005,2005
13.27236328,357,23/12/2005,2005
15.88686523,358,24/12/2005,2005
15.53017578,359,25/12/2005,2005
